t,angle,u
2.38,1703.4256765179887,-4070.010604360195
2.39,1745.1318463864948,-4169.676106081645
2.4,1787.8591746081681,-4271.781765651042
2.41,1831.632650560016,-4376.387301499102
2.42,1876.4778753312007,-4483.5538939573435
2.43,1922.4210767095176,-4593.3442210697385
2.44,1969.4891245348372,-4705.82249528124
2.45,2017.709546428489,-4821.0545010245805
2.46,2067.1105439077755,-4939.107633227349
2.47,2117.7210088950396,-5060.05093676181
2.48,2169.57054063093,-5183.955146860588
2.49,2222.6894630017514,-5310.892730521784
2.5,2277.108842291029,-5440.937928927749
2.51,2332.8605053656556,-5574.166800902318
2.52,2389.9770583072586,-5710.657267431893
2.53,2448.4919054996685,-5850.489157276398
2.54,2508.323149475916,-5982.132282923436
2.55,2569.482613746465,-6114.958738714308
2.56,2631.9980353209567,-6250.559870198421
2.57,2695.899297352444,-6389.150286386828
2.58,2761.217095334253,-6530.811215019763
2.59,2827.9828199759754,-6675.612170486594
2.6,2896.2285594048303,-6823.622886369176
2.61,2965.9871133435017,-6974.91451309821
2.62,3037.2920087690977,-7129.559766073718
2.63,3110.1775160332963,-7287.632971794155
2.64,3184.6786653509066,-7449.210104708579
2.65,3260.8312636549276,-7614.368823877916
2.66,3338.6719118252286,-7783.188510350065
2.67,3418.238022299033,-7955.7503053534665
2.68,3499.5678370716496,-8132.137149336113
2.69,3582.700446096087,-8312.433821869463
2.7,3667.6758060903962,-8496.726982436548
2.71,3754.534759761759,-8685.105212123884
2.72,3843.319055456558,-8877.659056237142
2.73,3934.0713672458655,-9074.48106786111
2.74,4026.8353154559877,-9275.665852384805
2.75,4121.655487653931,-9481.310113013198
2.76,4218.577460097864,-9691.512697287297
2.77,4317.647819662868,-9906.374644635054
2.78,4418.914186252523,-10125.999234975774
2.79,4522.425235707075,-10350.492038401599
2.8,4628.230723219195,-10579.960965959675
2.81,4736.381507268569,-10814.516321559588
2.82,4846.929574086828,-11054.27085503088
2.83,4959.928062664549,-11299.339816356247
2.84,5075.431290312353,-11549.8410111063
2.85,5193.4947787883775,-11805.894857102747
2.86,5314.175281004663,-12067.624442337003
2.87,5437.530808325291,-12335.155584172178
2.88,5563.620658469386,-12608.616889856867
2.89,5692.505444032386,-12888.139818379725
2.9,5824.247121639277,-13173.858743694764
2.91,5958.9090217438115,-13465.911019347466
2.92,6096.555879088013,-13764.43704453297
2.93,6237.253863836608,-14069.580331618043
2.94,6381.070613401345,-14381.48757515916
2.95,6528.075264970496,-14700.308722450067
2.96,6678.338488759157,-15026.197045632503
2.97,6831.93252199634,-15359.309215404925
2.98,6988.931203665181,-15699.80537636451
2.99,7149.410010012959,-16047.849224018768
3.0,7313.446090847996,-16403.6080835037
3.01,7481.1183066408685,-16767.252990046363
3.02,7652.5072664477775,-17138.958771210462
3.03,7827.695366674291,-17518.904130964645
3.04,8006.766830698092,-17907.27173561372
3.05,8189.807749369784,-18304.248301634194
3.06,8376.906122411203,-18710.024685456483
3.07,8568.151900731154,-19124.795975236597
3.08,8763.637029678901,-19548.761584661825
3.09,8963.455493256193,-19982.125348835267
3.1,9167.703359309102,-20425.09562228531
3.11,9376.478825721373,-20877.88537914729
3.12,9589.882267631501,-21340.71231556546
3.13,9808.016285696238,-21813.798954364283
3.14,10030.98575542372,-22297.372752039842
3.15,10258.897877599946,-22791.666208122268
3.16,10491.862229832826,-23296.916976962144
3.17,10729.990819238614,-23813.36798199446
3.18,10973.398136296015,-24341.2675325351
3.19,11222.201209893898,-24880.86944316604
3.2,11476.519663599041,-25432.433155766623
3.21,11736.475773171,-25996.22386424952
3.22,12002.194525351719,-26572.51264206158
3.23,12273.803677958173,-27161.57657251063
3.24,12551.433821306922,-27763.698881980883
3.25,12835.218441000125,-28379.16907610134
3.26,13125.293982103172,-29008.283078932272
3.27,13421.799914744845,-29651.343375236822
3.28,13724.87880117148,-30308.65915590641
3.29,14034.67636428745,-30980.54646660932
3.3,14351.341557714852,-31667.328359734598
