t,theta,u
5.28,0.0017574007419294741,-0.01723920883542699
5.29,0.0017556826167937287,-0.017222396827882434
5.3,0.001753966262103028,-0.017205600294196707
5.3100000000000005,0.001752251672029982,-0.017188819260892805
5.32,0.0017505388409339699,-0.017172053752628473
5.33,0.0017488277633529563,-0.017155303792279312
5.34,0.001747118433995671,-0.017138569401018225
5.3500000000000005,0.001745410847734133,-0.017121850598391254
5.36,0.0017437049995965058,-0.017105147402390126
5.37,0.0017420008847602668,-0.01708845982952167
5.38,0.00174029849854568,-0.017071787894874037
5.39,0.0017385978364095553,-0.017055131612180037
5.4,0.001736898893939286,-0.017038490993877765
5.41,0.0017352016668471467,-0.0170218660511684
5.42,0.0017335061509648451,-0.017005256794071527
5.43,0.0017318123422383133,-0.01698866323147811
5.44,0.0017301202367227303,-0.016972085371200873
5.45,0.001728429830577763,-0.016955523220022705
5.46,0.0017267411200630183,-0.016938976783742794
5.47,0.0017250541015336961,-0.016922446067220827
5.48,0.0017233687714364337,-0.016905931074419
5.49,0.001721685126305334,-0.01688943180844253
5.5,0.001720003162758169,-0.016872948271578023
5.51,0.0017183228774927518,-0.01685648046533043
5.5200000000000005,0.0017166442672834675,-0.01684002839045814
5.53,0.0017149673289779577,-0.01682359204700672
5.54,0.0017132920594939522,-0.01680717143434098
5.55,0.00171161845581624,-0.01679076655117578
5.5600000000000005,0.001709946514993774,-0.0167743773956054
5.57,0.001708276234136903,-0.01675800396513161
5.58,0.0017066076104147276,-0.016741646256690453
5.59,0.0017049406410525715,-0.016725304266678
5.6000000000000005,0.0017032753233295647,-0.0167089779909748
5.61,0.0017016116545763328,-0.01669266742496932
5.62,0.0016999496321727903,-0.016676372563580344
5.63,0.0016982892535460292,-0.01666009340127841
5.64,0.0016966305161683016,-0.016643829932106245
5.65,0.0016949734175550923,-0.01662758214969832
5.66,0.001693317955263274,-0.01661135004729958
5.67,0.0016916641268893474,-0.016595133617783194
5.68,0.0016900119300677558,-0.01657893285366781
5.69,0.001688361362469276,-0.01656274774713376
5.7,0.0016867124217994792,-0.016546578290038638
5.71,0.0016850651057972608,-0.016530424473932322
5.72,0.0016834194122334345,-0.01651428629007105
5.73,0.0016817753389093881,-0.01649816372943125
5.74,0.0016801328836557998,-0.01648205678272239
5.75,0.0016784920443314092,-0.016465965440399525
5.76,0.001676852818821845,-0.016449889692675072
5.7700000000000005,0.0016752152050385023,-0.016433829529530306
5.78,0.001673579200917471,-0.01641778494072615
5.79,0.0016719448044185097,-0.016401755915813557
5.8,0.0016703120135240673,-0.01638574244414348
5.8100000000000005,0.001668680826238345,-0.016369744514876283
5.82,0.001667051240586402,-0.01635376211699085
5.83,0.0016654232546133,-0.01633779523929324
5.84,0.0016637968663832838,-0.016321843870425012
5.8500000000000005,0.0016621720739790008,-0.01630590799887102
5.86,0.0016605488755007528,-0.01628998761296712
5.87,0.0016589272690657813,-0.016274082700907275
5.88,0.0016573072528075854,-0.01625819325075054
5.89,0.001655688824875268,-0.016242319250427656
5.9,0.001654071983432912,-0.016226460687747305
5.91,0.001652456726658984,-0.016210617550402238
5.92,0.0016508430527457634,-0.016194789825974918
5.93,0.0016492309598987978,-0.01617897750194314
5.94,0.0016476204463363815,-0.016163180565685217
5.95,0.0016460115102890573,-0.016147399004485048
5.96,0.0016444041499991406,-0.01613163280553692
5.97,0.0016427983637202638,-0.01611588195595014
5.98,0.0016411941497169412,-0.016100146442753316
5.99,0.001639591506264153,-0.016084426252898687
